"Date","Family","Sales","Type"
2013-01-01,"FROZEN FOODS",15073.679046,"Actual"
2013-01-01,"LIQUOR,WINE,BEER",4463.256016,"Actual"
2013-01-01,"MEATS",5804.540989,"Actual"
2013-01-01,"POULTRY",8419.2867103,"Actual"
2013-01-01,"PREPARED FOODS",9569,"Actual"
2013-01-02,"FROZEN FOODS",1886,"Actual"
2013-01-02,"LIQUOR,WINE,BEER",4814.051004,"Actual"
2013-01-02,"MEATS",17669.819008,"Actual"
2013-01-02,"POULTRY",14072.87500325,"Actual"
2013-01-02,"PREPARED FOODS",7073.44999,"Actual"
2013-01-03,"FROZEN FOODS",5141.32801,"Actual"
2013-01-03,"LIQUOR,WINE,BEER",21926.6309,"Actual"
2013-01-03,"MEATS",15734.91198,"Actual"
2013-01-03,"POULTRY",105,"Actual"
2013-01-03,"PREPARED FOODS",9756.240992,"Actual"
2013-01-04,"FROZEN FOODS",4999.79801,"Actual"
2013-01-04,"LIQUOR,WINE,BEER",21571.223989,"Actual"
2013-01-04,"MEATS",4032,"Actual"
2013-01-04,"POULTRY",3806.28799225,"Actual"
2013-01-04,"PREPARED FOODS",25254.416934,"Actual"
2013-01-05,"FROZEN FOODS",14840.49992,"Actual"
2013-01-05,"LIQUOR,WINE,BEER",5378,"Actual"
2013-01-05,"MEATS",4425.41097,"Actual"
2013-01-05,"POULTRY",3791.49834845,"Actual"
2013-01-05,"PREPARED FOODS",19008.917019,"Actual"
2013-01-06,"FROZEN FOODS",14194.101085,"Actual"
2013-01-06,"LIQUOR,WINE,BEER",4883.989002,"Actual"
2013-01-06,"MEATS",7408.526,"Actual"
2013-01-06,"POULTRY",13975.884938,"Actual"
2013-01-06,"PREPARED FOODS",0,"Actual"
2013-01-07,"FROZEN FOODS",2165,"Actual"
2013-01-07,"LIQUOR,WINE,BEER",5985.29901,"Actual"
2013-01-07,"MEATS",16044.972,"Actual"
2013-01-07,"POULTRY",20871.464028,"Actual"
2013-01-07,"PREPARED FOODS",7134.484994,"Actual"
2013-01-08,"FROZEN FOODS",4794.63198,"Actual"
2013-01-08,"LIQUOR,WINE,BEER",24538.571944,"Actual"
2013-01-08,"MEATS",16423.913996,"Actual"
2013-01-08,"POULTRY",2411,"Actual"
2013-01-08,"PREPARED FOODS",7558.694998,"Actual"
2013-01-09,"FROZEN FOODS",4556.510988,"Actual"
2013-01-09,"LIQUOR,WINE,BEER",19665.211037,"Actual"
2013-01-09,"MEATS",6325,"Actual"
2013-01-09,"POULTRY",5338.111976,"Actual"
2013-01-09,"PREPARED FOODS",18493.062966,"Actual"
2013-01-10,"FROZEN FOODS",14646.700994,"Actual"
2013-01-10,"LIQUOR,WINE,BEER",9209,"Actual"
2013-01-10,"MEATS",4293.612998,"Actual"
2013-01-10,"POULTRY",7115.388,"Actual"
2013-01-10,"PREPARED FOODS",16780.65502,"Actual"
2013-01-11,"FROZEN FOODS",14072.87500325,"Actual"
2013-01-11,"LIQUOR,WINE,BEER",6224.186006,"Actual"
2013-01-11,"MEATS",7547.576999,"Actual"
2013-01-11,"POULTRY",10674.393983,"Actual"
2013-01-11,"PREPARED FOODS",2577,"Actual"
2013-01-12,"FROZEN FOODS",2796,"Actual"
2013-01-12,"LIQUOR,WINE,BEER",8853.197,"Actual"
2013-01-12,"MEATS",22343.77803,"Actual"
2013-01-12,"POULTRY",16597.398113,"Actual"
2013-01-12,"PREPARED FOODS",5095.987018,"Actual"
2013-01-13,"FROZEN FOODS",4820.582015,"Actual"
2013-01-13,"LIQUOR,WINE,BEER",28347.6683,"Actual"
2013-01-13,"MEATS",21079.01601,"Actual"
2013-01-13,"POULTRY",2476,"Actual"
2013-01-13,"PREPARED FOODS",5268.765003,"Actual"
2013-01-14,"FROZEN FOODS",4826.712998,"Actual"
2013-01-14,"LIQUOR,WINE,BEER",19772.207014,"Actual"
2013-01-14,"MEATS",7016,"Actual"
2013-01-14,"POULTRY",3806.28799225,"Actual"
2013-01-14,"PREPARED FOODS",14736.2589807,"Actual"
2013-01-15,"FROZEN FOODS",14658.21,"Actual"
2013-01-15,"LIQUOR,WINE,BEER",0,"Actual"
2013-01-15,"MEATS",4876.956024,"Actual"
2013-01-15,"POULTRY",4760.805009,"Actual"
2013-01-15,"PREPARED FOODS",14302.539994,"Actual"
2013-01-16,"FROZEN FOODS",17009.469975,"Actual"
2013-01-16,"LIQUOR,WINE,BEER",6909.638998,"Actual"
2013-01-16,"MEATS",9664.099006,"Actual"
2013-01-16,"POULTRY",10772.515038,"Actual"
