id,date,store_nbr,family,sales,onpromotion
12,1/1/2013,1,FROZEN FOODS,0,0
45,1/1/2013,10,FROZEN FOODS,0,0
78,1/1/2013,11,FROZEN FOODS,0,0
111,1/1/2013,12,FROZEN FOODS,0,0
144,1/1/2013,13,FROZEN FOODS,0,0
177,1/1/2013,14,FROZEN FOODS,0,0
210,1/1/2013,15,FROZEN FOODS,0,0
243,1/1/2013,16,FROZEN FOODS,0,0
276,1/1/2013,17,FROZEN FOODS,0,0
309,1/1/2013,18,FROZEN FOODS,0,0
342,1/1/2013,19,FROZEN FOODS,0,0
375,1/1/2013,2,FROZEN FOODS,0,0
408,1/1/2013,20,FROZEN FOODS,0,0
441,1/1/2013,21,FROZEN FOODS,0,0
474,1/1/2013,22,FROZEN FOODS,0,0
507,1/1/2013,23,FROZEN FOODS,0,0
540,1/1/2013,24,FROZEN FOODS,0,0
573,1/1/2013,25,FROZEN FOODS,29.654999,0
606,1/1/2013,26,FROZEN FOODS,0,0
639,1/1/2013,27,FROZEN FOODS,0,0
672,1/1/2013,28,FROZEN FOODS,0,0
705,1/1/2013,29,FROZEN FOODS,0,0
738,1/1/2013,3,FROZEN FOODS,0,0
771,1/1/2013,30,FROZEN FOODS,0,0
804,1/1/2013,31,FROZEN FOODS,0,0
837,1/1/2013,32,FROZEN FOODS,0,0
870,1/1/2013,33,FROZEN FOODS,0,0
903,1/1/2013,34,FROZEN FOODS,0,0
936,1/1/2013,35,FROZEN FOODS,0,0
969,1/1/2013,36,FROZEN FOODS,0,0
1002,1/1/2013,37,FROZEN FOODS,0,0
1035,1/1/2013,38,FROZEN FOODS,0,0
1068,1/1/2013,39,FROZEN FOODS,0,0
1101,1/1/2013,4,FROZEN FOODS,0,0
1134,1/1/2013,40,FROZEN FOODS,0,0
1167,1/1/2013,41,FROZEN FOODS,0,0
1200,1/1/2013,42,FROZEN FOODS,0,0
1233,1/1/2013,43,FROZEN FOODS,0,0
1266,1/1/2013,44,FROZEN FOODS,0,0
1299,1/1/2013,45,FROZEN FOODS,0,0
1332,1/1/2013,46,FROZEN FOODS,0,0
1365,1/1/2013,47,FROZEN FOODS,0,0
1398,1/1/2013,48,FROZEN FOODS,0,0
1431,1/1/2013,49,FROZEN FOODS,0,0
1464,1/1/2013,5,FROZEN FOODS,0,0
1497,1/1/2013,50,FROZEN FOODS,0,0
1530,1/1/2013,51,FROZEN FOODS,0,0
1563,1/1/2013,52,FROZEN FOODS,0,0
1596,1/1/2013,53,FROZEN FOODS,0,0
1629,1/1/2013,54,FROZEN FOODS,0,0
1662,1/1/2013,6,FROZEN FOODS,0,0
1695,1/1/2013,7,FROZEN FOODS,0,0
1728,1/1/2013,8,FROZEN FOODS,0,0
1761,1/1/2013,9,FROZEN FOODS,0,0
1794,1/2/2013,1,FROZEN FOODS,131,0
1827,1/2/2013,10,FROZEN FOODS,41.164,0
1860,1/2/2013,11,FROZEN FOODS,57.771,0
1893,1/2/2013,12,FROZEN FOODS,14,0
1926,1/2/2013,13,FROZEN FOODS,28.541,0
1959,1/2/2013,14,FROZEN FOODS,119.343,0
1992,1/2/2013,15,FROZEN FOODS,33,0
2025,1/2/2013,16,FROZEN FOODS,29,0
2058,1/2/2013,17,FROZEN FOODS,48.516,0
2091,1/2/2013,18,FROZEN FOODS,93.764,0
2124,1/2/2013,19,FROZEN FOODS,13,0
2157,1/2/2013,2,FROZEN FOODS,111.1,0
2190,1/2/2013,20,FROZEN FOODS,0,0
2223,1/2/2013,21,FROZEN FOODS,0,0
2256,1/2/2013,22,FROZEN FOODS,0,0
2289,1/2/2013,23,FROZEN FOODS,98.882,0
2322,1/2/2013,24,FROZEN FOODS,135.005,0
2355,1/2/2013,25,FROZEN FOODS,80.861,0
2388,1/2/2013,26,FROZEN FOODS,51.581,0
2421,1/2/2013,27,FROZEN FOODS,57,0
2454,1/2/2013,28,FROZEN FOODS,47.268,0
2487,1/2/2013,29,FROZEN FOODS,0,0
2520,1/2/2013,3,FROZEN FOODS,490.391,0
2553,1/2/2013,30,FROZEN FOODS,19.22,0
2586,1/2/2013,31,FROZEN FOODS,19.255,0
2619,1/2/2013,32,FROZEN FOODS,13.575,0
2652,1/2/2013,33,FROZEN FOODS,33,0
2685,1/2/2013,34,FROZEN FOODS,24.826,0
2718,1/2/2013,35,FROZEN FOODS,5,0
2751,1/2/2013,36,FROZEN FOODS,0,0
2784,1/2/2013,37,FROZEN FOODS,231.434,0
2817,1/2/2013,38,FROZEN FOODS,180.752,0
2850,1/2/2013,39,FROZEN FOODS,34.211,0
2883,1/2/2013,4,FROZEN FOODS,146.132,0
2916,1/2/2013,40,FROZEN FOODS,12,0
2949,1/2/2013,41,FROZEN FOODS,94.539,0
2982,1/2/2013,42,FROZEN FOODS,0,0
3015,1/2/2013,43,FROZEN FOODS,13,0
3048,1/2/2013,44,FROZEN FOODS,778.704,0
3081,1/2/2013,45,FROZEN FOODS,600.702,0
3114,1/2/2013,46,FROZEN FOODS,553.936,0
3147,1/2/2013,47,FROZEN FOODS,522.605,0
3180,1/2/2013,48,FROZEN FOODS,266.595,0
3213,1/2/2013,49,FROZEN FOODS,328.577,0
3246,1/2/2013,5,FROZEN FOODS,187.168,0
3279,1/2/2013,50,FROZEN FOODS,211.172,0
3312,1/2/2013,51,FROZEN FOODS,235.036,0
3345,1/2/2013,52,FROZEN FOODS,0,0
3378,1/2/2013,53,FROZEN FOODS,0,0
3411,1/2/2013,54,FROZEN FOODS,10,0
3444,1/2/2013,6,FROZEN FOODS,216.279,0
3477,1/2/2013,7,FROZEN FOODS,281.743,0
3510,1/2/2013,8,FROZEN FOODS,326.195,0
3543,1/2/2013,9,FROZEN FOODS,88.545,0
3576,1/3/2013,1,FROZEN FOODS,87.044,0
3609,1/3/2013,10,FROZEN FOODS,14.47,0
3642,1/3/2013,11,FROZEN FOODS,40.714,0
3675,1/3/2013,12,FROZEN FOODS,26.916,0
3708,1/3/2013,13,FROZEN FOODS,15.989,0
3741,1/3/2013,14,FROZEN FOODS,53.68,0
3774,1/3/2013,15,FROZEN FOODS,32.159,0
3807,1/3/2013,16,FROZEN FOODS,15,0
3840,1/3/2013,17,FROZEN FOODS,26,0
3873,1/3/2013,18,FROZEN FOODS,47.325,0
3906,1/3/2013,19,FROZEN FOODS,17,0
3939,1/3/2013,2,FROZEN FOODS,59.265,0
3972,1/3/2013,20,FROZEN FOODS,0,0
4005,1/3/2013,21,FROZEN FOODS,0,0
4038,1/3/2013,22,FROZEN FOODS,0,0
4071,1/3/2013,23,FROZEN FOODS,76.59,0
4104,1/3/2013,24,FROZEN FOODS,142.324,0
4137,1/3/2013,25,FROZEN FOODS,40,0
4170,1/3/2013,26,FROZEN FOODS,32.816,0
4203,1/3/2013,27,FROZEN FOODS,38.202,0
4236,1/3/2013,28,FROZEN FOODS,28.834,0
4269,1/3/2013,29,FROZEN FOODS,0,0
4302,1/3/2013,3,FROZEN FOODS,326.191,0
4335,1/3/2013,30,FROZEN FOODS,98.514,0
4368,1/3/2013,31,FROZEN FOODS,20.479,0
4401,1/3/2013,32,FROZEN FOODS,10.344999,0
4434,1/3/2013,33,FROZEN FOODS,18,0
4467,1/3/2013,34,FROZEN FOODS,23,0
4500,1/3/2013,35,FROZEN FOODS,26.125,0
4533,1/3/2013,36,FROZEN FOODS,0,0
4566,1/3/2013,37,FROZEN FOODS,262.145,0
4599,1/3/2013,38,FROZEN FOODS,169.033,0
4632,1/3/2013,39,FROZEN FOODS,53.444,0
4665,1/3/2013,4,FROZEN FOODS,139.623,0
4698,1/3/2013,40,FROZEN FOODS,25.502,0
4731,1/3/2013,41,FROZEN FOODS,72.76,0
4764,1/3/2013,42,FROZEN FOODS,0,0
4797,1/3/2013,43,FROZEN FOODS,19,0
4830,1/3/2013,44,FROZEN FOODS,384.741,0
4863,1/3/2013,45,FROZEN FOODS,320.474,0
4896,1/3/2013,46,FROZEN FOODS,222.019,0
4929,1/3/2013,47,FROZEN FOODS,341,0
4962,1/3/2013,48,FROZEN FOODS,238.113,0
4995,1/3/2013,49,FROZEN FOODS,176,0
5028,1/3/2013,5,FROZEN FOODS,117.994,0
5061,1/3/2013,50,FROZEN FOODS,154.938,0
5094,1/3/2013,51,FROZEN FOODS,188.72101,0
5127,1/3/2013,52,FROZEN FOODS,0,0
5160,1/3/2013,53,FROZEN FOODS,0,0
5193,1/3/2013,54,FROZEN FOODS,3,0
5226,1/3/2013,6,FROZEN FOODS,155.893,0
5259,1/3/2013,7,FROZEN FOODS,172.673,0
5292,1/3/2013,8,FROZEN FOODS,181.477,0
5325,1/3/2013,9,FROZEN FOODS,45.273,0
5358,1/4/2013,1,FROZEN FOODS,65,0
5391,1/4/2013,10,FROZEN FOODS,10.691,0
5424,1/4/2013,11,FROZEN FOODS,53.899002,0
5457,1/4/2013,12,FROZEN FOODS,40.382,0
5490,1/4/2013,13,FROZEN FOODS,6,0
5523,1/4/2013,14,FROZEN FOODS,71.691,0
5556,1/4/2013,15,FROZEN FOODS,10,0
5589,1/4/2013,16,FROZEN FOODS,11,0
